Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales
86;CA-2018-140088;28/05/2018;30/05/2018;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Columbia;South Carolina;29203;South;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;301,96
87;CA-2018-155558;26/10/2018;02/11/2018;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;TEC-AC-10001998;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19,99
89;CA-2017-159695;05/04/2017;10/04/2017;Second Class;GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;158368
90;CA-2017-109806;17/09/2017;22/09/2017;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20,1
93;CA-2016-149587;31/01/2016;05/02/2016;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-PA-10003177;Office Supplies;Paper;Xerox 1999;12,96
96;US-2018-109484;06/11/2018;12/11/2018;Standard Class;RB-19705;Roger Barcio;Home Office;United States;Portland;Oregon;97206;West;OFF-BI-10004738;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5682
97;CA-2018-161018;09/11/2018;11/11/2018;Second Class;PN-18775;Parhena Norris;Home Office;United States;New York City;New York;10009;East;FUR-FU-10000629;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;96,53
98;CA-2018-157833;17/06/2018;20/06/2018;First Class;KD-16345;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;51312
99;CA-2017-149223;06/09/2017;11/09/2017;Standard Class;ER-13855;Elpida Rittenbach;Corporate;United States;Saint Paul;Minnesota;55106;Central;OFF-AP-10000358;Office Supplies;Appliances;Fellowes Basic Home/Office Series Surge Protectors;77,88
100;CA-2017-158568;29/08/2017;02/09/2017;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-PA-10003256;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;64624
103;CA-2017-129903;01/12/2017;04/12/2017;Second Class;GZ-14470;Gary Zandusky;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-PA-10004040;Office Supplies;Paper;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);23,92
104;US-2016-156867;13/11/2016;17/11/2016;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;TEC-AC-10001552;Technology;Accessories;Logitech K350 2.4Ghz Wireless Keyboard;238896
107;CA-2018-119004;23/11/2018;28/11/2018;Standard Class;JM-15250;Janet Martin;Consumer;United States;Charlotte;North Carolina;28205;South;TEC-AC-10003499;Technology;Accessories;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;74112
110;CA-2016-129476;15/10/2016;20/10/2016;Standard Class;PA-19060;Pete Armstrong;Home Office;United States;Orland Park;Illinois;60462;Central;TEC-AC-10000844;Technology;Accessories;Logitech Gaming G510s - Keyboard;339,96
111;CA-2018-146780;25/12/2018;30/12/2018;Standard Class;CV-12805;Cynthia Voltz;Corporate;United States;New York City;New York;10035;East;FUR-FU-10001934;Furniture;Furnishings;Magnifier Swing Arm Lamp;41,96
112;CA-2017-128867;03/11/2017;10/11/2017;Standard Class;CL-12565;Clay Ludtke;Consumer;United States;Urbandale;Iowa;50322;Central;OFF-AR-10000380;Office Supplies;Art;Hunt PowerHouse Electric Pencil Sharpener, Blue;75,96
114;CA-2015-115259;25/08/2015;27/08/2015;Second Class;RC-19960;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;OFF-FA-10000621;Office Supplies;Fasteners;OIC Colored Binder Clips, Assorted Sizes;40096
118;CA-2016-110457;02/03/2016;06/03/2016;Standard Class;DK-13090;Dave Kipp;Consumer;United States;Seattle;Washington;98103;West;FUR-TA-10001768;Furniture;Tables;Hon Racetrack Conference Tables;787,53
119;US-2016-136476;05/04/2016;10/04/2016;Standard Class;GG-14650;Greg Guthrie;Corporate;United States;Bristol;Tennessee;37620;South;OFF-BI-10003650;Office Supplies;Binders;GBC DocuBind 300 Electric Binding Machine;157794
120;CA-2017-103730;12/06/2017;15/06/2017;First Class;SC-20725;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;FUR-FU-10002157;Furniture;Furnishings;Artistic Insta-Plaque;47,04
125;US-2015-152030;26/12/2015;28/12/2015;Second Class;AD-10180;Alan Dominguez;Home Office;United States;Houston;Texas;77041;Central;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;600558
126;US-2015-134614;20/09/2015;25/09/2015;Standard Class;PF-19165;Philip Fox;Consumer;United States;Bloomington;Illinois;61701;Central;FUR-TA-10004534;Furniture;Tables;Bevis 44 x 96 Conference Tables;617,7
127;US-2018-107272;05/11/2018;12/11/2018;Standard Class;TS-21610;Troy Staebel;Consumer;United States;Phoenix;Arizona;85023;West;OFF-BI-10003274;Office Supplies;Binders;Avery Durable Slant Ring Binders, No Labels;2388
129;US-2017-125969;06/11/2017;10/11/2017;Second Class;LS-16975;Lindsay Shagiari;Home Office;United States;Los Angeles;California;90004;West;FUR-CH-10001146;Furniture;Chairs;Global Task Chair, Black;81424
131;US-2018-164147;02/02/2018;05/02/2018;First Class;DW-13585;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;TEC-PH-10002293;Technology;Phones;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;59,97
134;CA-2017-145583;13/10/2017;19/10/2017;Standard Class;LC-16885;Lena Creighton;Consumer;United States;Roseville;California;95661;West;OFF-PA-10001804;Office Supplies;Paper;Xerox 195;20,04
141;CA-2017-110366;05/09/2017;07/09/2017;Second Class;JD-15895;Jonathan Doherty;Corporate;United States;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";82,8
142;CA-2018-106180;18/09/2018;23/09/2018;Standard Class;SH-19975;Sally Hughsby;Corporate;United States;San Francisco;California;94122;West;OFF-AR-10000940;Office Supplies;Art;Newell 343;8,82
145;CA-2018-155376;22/12/2018;27/12/2018;Standard Class;SG-20080;Sandra Glassco;Consumer;United States;Independence;Missouri;64055;Central;OFF-AP-10001058;Office Supplies;Appliances;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;839,43
146;CA-2016-110744;07/09/2016;12/09/2016;Standard Class;HA-14920;Helen Andreada;Consumer;United States;Pasadena;California;91104;West;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;671,93
147;CA-2015-110072;22/10/2015;28/10/2015;Standard Class;MG-17680;Maureen Gastineau;Home Office;United States;Newark;Ohio;43055;East;FUR-FU-10000521;Furniture;Furnishings;"Seth Thomas 14"" Putty-Colored Wall Clock";93888
148;CA-2017-114489;05/12/2017;09/12/2017;Standard Class;JE-16165;Justin Ellison;Corporate;United States;Franklin;Wisconsin;53132;Central;TEC-PH-10000215;Technology;Phones;Plantronics Cordless Phone Headset with In-line Volume - M214C;384,45
152;CA-2017-158834;13/03/2017;16/03/2017;First Class;TW-21025;Tamara Willingham;Home Office;United States;Scottsdale;Arizona;85254;West;OFF-AP-10000326;Office Supplies;Appliances;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;157,92
154;CA-2016-124919;31/05/2016;02/06/2016;First Class;SP-20650;Stephanie Phelps;Corporate;United States;San Jose;California;95123;West;OFF-PA-10001950;Office Supplies;Paper;Southworth 25% Cotton Antique Laid Paper & Envelopes;58,38
157;CA-2016-118948;28/05/2016;03/06/2016;Standard Class;NK-18490;Neil Knudson;Home Office;United States;Seattle;Washington;98105;West;OFF-AR-10001547;Office Supplies;Art;Newell 311;6,63
158;CA-2015-104269;01/03/2015;06/03/2015;Second Class;DB-13060;Dave Brooks;Consumer;United States;Seattle;Washington;98115;West;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;457568
159;CA-2017-114104;20/11/2017;24/11/2017;Standard Class;NP-18670;Nora Paige;Consumer;United States;Edmond;Oklahoma;73034;Central;OFF-LA-10002475;Office Supplies;Labels;Avery 519;14,62
161;CA-2017-162733;11/05/2017;12/05/2017;First Class;TT-21070;Ted Trevino;Consumer;United States;Los Angeles;California;90045;West;OFF-PA-10002751;Office Supplies;Paper;Xerox 1920;5,98
162;CA-2016-119697;28/12/2016;31/12/2016;Second Class;EM-13960;Eric Murdock;Consumer;United States;Philadelphia;Pennsylvania;19134;East;TEC-AC-10003657;Technology;Accessories;Lenovo 17-Key USB Numeric Keypad;54384
163;CA-2017-154508;16/11/2017;20/11/2017;Standard Class;RD-19900;Ruben Dartt;Consumer;United States;Carlsbad;New Mexico;88220;West;OFF-EN-10001990;Office Supplies;Envelopes;Staple envelope;28,4
164;CA-2017-113817;07/11/2017;11/11/2017;Standard Class;MJ-17740;Max Jones;Consumer;United States;Seattle;Washington;98115;West;OFF-BI-10004002;Office Supplies;Binders;Wilson Jones International Size A4 Ring Binders;27,68
165;CA-2015-139892;08/09/2015;12/09/2015;Standard Class;BM-11140;Becky Martin;Consumer;United States;San Antonio;Texas;78207;Central;OFF-AR-10004441;Office Supplies;Art;BIC Brite Liner Highlighters;9936
172;CA-2015-118962;05/08/2015;09/08/2015;Standard Class;CS-12130;Chad Sievert;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10000659;Office Supplies;Paper;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;20,94
175;US-2015-100853;14/09/2015;19/09/2015;Standard Class;JB-15400;Jennifer Braxton;Corporate;United States;Chicago;Illinois;60623;Central;OFF-AP-10000891;Office Supplies;Appliances;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;52448
177;US-2018-152366;21/04/2018;25/04/2018;Second Class;SJ-20500;Shirley Jackson;Consumer;United States;Houston;Texas;77036;Central;OFF-AP-10002684;Office Supplies;Appliances;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;97264
178;US-2016-101511;21/11/2016;23/11/2016;Second Class;JE-15745;Joel Eaton;Consumer;United States;Newark;Ohio;43055;East;FUR-CH-10004698;Furniture;Chairs;Padded Folding Chairs, Black, 4/Carton;396802
180;CA-2016-137225;15/12/2016;19/12/2016;Standard Class;JK-15640;Jim Kriz;Home Office;United States;New York City;New York;10009;East;OFF-AR-10001940;Office Supplies;Art;Sanford Colorific Eraseable Coloring Pencils, 12 Count;3,28
181;CA-2015-166191;05/12/2015;09/12/2015;Second Class;DK-13150;David Kendrick;Corporate;United States;Decatur;Illinois;62521;Central;OFF-ST-10003455;Office Supplies;Storage;Tenex File Box, Personal Filing Tote with Lid, Black;24816
183;CA-2015-158274;19/11/2015;24/11/2015;Second Class;RM-19675;Robert Marley;Home Office;United States;Monroe;Louisiana;71203;South;TEC-PH-10003273;Technology;Phones;AT&T TR1909W;503,96
186;CA-2017-105018;28/11/2017;02/12/2017;Standard Class;SK-19990;Sally Knutson;Consumer;United States;Fairfield;Connecticut;6824;East;OFF-BI-10001890;Office Supplies;Binders;Avery Poly Binder Pockets;7,16
187;CA-2015-123260;26/08/2015;30/08/2015;Standard Class;FM-14290;Frank Merwin;Home Office;United States;Los Angeles;California;90032;West;TEC-AC-10002323;Technology;Accessories;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;176,8
188;CA-2017-157000;16/07/2017;22/07/2017;Standard Class;AM-10360;Alice McCarthy;Corporate;United States;Grand Prairie;Texas;75051;Central;OFF-ST-10001328;Office Supplies;Storage;Personal Filing Tote with Lid, Black/Gray;37224
190;CA-2016-102281;12/10/2016;14/10/2016;First Class;MP-17470;Mark Packer;Home Office;United States;New York City;New York;10035;East;FUR-BO-10002613;Furniture;Bookcases;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;899136
195;CA-2016-131457;31/10/2016;06/11/2016;Standard Class;MZ-17515;Mary Zewe;Corporate;United States;Redlands;California;92374;West;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;14,28
196;CA-2015-140004;21/03/2015;25/03/2015;Standard Class;CB-12025;Cassandra Brandow;Consumer;United States;Hamilton;Ohio;45011;East;OFF-AR-10004685;Office Supplies;Art;Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;7408
198;CA-2018-107720;06/11/2018;13/11/2018;Standard Class;VM-21685;Valerie Mitchum;Home Office;United States;Westfield;New Jersey;7090;East;OFF-ST-10001414;Office Supplies;Storage;Decoflex Hanging Personal Folder File;46,26
199;US-2018-124303;06/07/2018;13/07/2018;Standard Class;FH-14365;Fred Hopkins;Corporate;United States;Philadelphia;Pennsylvania;19120;East;OFF-BI-10000343;Office Supplies;Binders;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";2946
201;CA-2018-105074;24/06/2018;29/06/2018;Standard Class;MB-17305;Maria Bertelson;Consumer;United States;Akron;Ohio;44312;East;OFF-PA-10002666;Office Supplies;Paper;Southworth 25% Cotton Linen-Finish Paper & Envelopes;21744
202;CA-2015-133690;03/08/2015;05/08/2015;First Class;BS-11755;Bruce Stewart;Consumer;United States;Denver;Colorado;80219;West;FUR-TA-10004289;Furniture;Tables;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;218,75
204;US-2018-116701;17/12/2018;21/12/2018;Second Class;LC-17140;Logan Currie;Consumer;United States;Dallas;Texas;75220;Central;OFF-AP-10003217;Office Supplies;Appliances;Eureka Sanitaire  Commercial Upright;66284
205;CA-2018-126382;03/06/2018;07/06/2018;Standard Class;HK-14890;Heather Kirkland;Corporate;United States;Franklin;Tennessee;37064;South;FUR-FU-10002960;Furniture;Furnishings;Eldon 200 Class Desk Accessories, Burgundy;35168
206;CA-2018-108329;09/12/2018;14/12/2018;Standard Class;LE-16810;Laurel Elliston;Consumer;United States;Whittier;California;90604;West;TEC-PH-10001918;Technology;Phones;Nortel Business Series Terminal T7208 Digital phone;444768
207;CA-2018-135860;01/12/2018;07/12/2018;Standard Class;JH-15985;Joseph Holt;Consumer;United States;Saginaw;Michigan;48601;Central;OFF-ST-10000642;Office Supplies;Storage;Tennsco Lockers, Gray;83,92
212;CA-2016-101007;09/02/2016;13/02/2016;Second Class;MS-17980;Michael Stewart;Corporate;United States;Dallas;Texas;75220;Central;TEC-AC-10001266;Technology;Accessories;Memorex Micro Travel Drive 8 GB;20,8
213;CA-2016-146262;02/01/2016;09/01/2016;Standard Class;VW-21775;Victoria Wilson;Corporate;United States;Medina;Ohio;44256;East;OFF-LA-10004544;Office Supplies;Labels;Avery 505;23,68
218;CA-2017-130162;28/10/2017;01/11/2017;Standard Class;JH-15910;Jonathan Howell;Consumer;United States;Los Angeles;California;90032;West;OFF-ST-10001328;Office Supplies;Storage;Personal Filing Tote with Lid, Black/Gray;93,06
220;CA-2016-169397;24/12/2016;27/12/2016;First Class;JB-15925;Joni Blumstein;Consumer;United States;Dublin;Ohio;43017;East;OFF-FA-10000585;Office Supplies;Fasteners;OIC Bulk Pack Metal Binder Clips;5584
226;CA-2016-163055;09/08/2016;16/08/2016;Standard Class;DS-13180;David Smith;Corporate;United States;Detroit;Michigan;48227;Central;OFF-AR-10001026;Office Supplies;Art;Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;2,2
229;US-2016-145436;28/02/2016;04/03/2016;Standard Class;VD-21670;Valerie Dominguez;Consumer;United States;Columbia;Tennessee;38401;South;FUR-CH-10004860;Furniture;Chairs;Global Low Back Tilter Chair;161568
231;US-2015-156216;13/09/2015;17/09/2015;Standard Class;EA-14035;Erin Ashbrook;Corporate;United States;Charlotte;North Carolina;28205;South;OFF-BI-10001679;Office Supplies;Binders;GBC Instant Index System for Binding Systems;18648
232;US-2018-100930;07/04/2018;12/04/2018;Standard Class;CS-12400;Christopher Schild;Home Office;United States;Tampa;Florida;33614;South;FUR-TA-10001705;Furniture;Tables;Bush Advantage Collection Round Conference Table;233,86
237;CA-2018-160514;12/11/2018;16/11/2018;Standard Class;DB-13120;David Bremer;Corporate;United States;Santa Clara;California;95051;West;OFF-PA-10002479;Office Supplies;Paper;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);10,56
238;CA-2017-157749;04/06/2017;09/06/2017;Second Class;KL-16645;Ken Lonsdale;Consumer;United States;Chicago;Illinois;60610;Central;OFF-PA-10003349;Office Supplies;Paper;Xerox 1957;25,92
245;CA-2015-131926;01/06/2015;06/06/2015;Second Class;DW-13480;Dianna Wilson;Home Office;United States;Lakeville;Minnesota;55044;Central;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;2001,86
250;CA-2017-154739;10/12/2017;15/12/2017;Second Class;LH-17155;Logan Haushalter;Consumer;United States;San Francisco;California;94109;West;FUR-CH-10002965;Furniture;Chairs;Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;321568
251;CA-2017-145625;11/09/2017;17/09/2017;Standard Class;KC-16540;Kelly Collister;Consumer;United States;San Diego;California;92037;West;OFF-PA-10004569;Office Supplies;Paper;"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";7,61
253;CA-2017-146941;10/12/2017;13/12/2017;First Class;DL-13315;Delfina Latchford;Consumer;United States;New York City;New York;10024;East;OFF-ST-10001228;Office Supplies;Storage;Fellowes Personal Hanging Folder Files, Navy;80,58
255;US-2016-159982;28/11/2016;04/12/2016;Standard Class;DR-12880;Dan Reichenbach;Corporate;United States;Chicago;Illinois;60623;Central;FUR-FU-10002505;Furniture;Furnishings;Eldon 100 Class Desk Accessories;12132
259;CA-2018-163139;01/12/2018;03/12/2018;Second Class;CC-12670;Craig Carreira;Consumer;United States;New York City;New York;10009;East;TEC-AC-10000290;Technology;Accessories;Sabrent 4-Port USB 2.0 Hub;20,37
